airport_1,airport_2,nsmiles
FCA,ONT,1027
FCA,SNA,1027
MSP,PHX,1276
MSP,BWI,936
MSP,DCA,936
MSP,IAD,936
MSP,EWR,1057
MSP,HPN,1057
MSP,ISP,1057
MSP,JFK,1057
MSP,LGA,1057
MSP,SWF,1057
MSP,OAK,1589
MSP,SFO,1589
MSP,SJC,1589
MSP,TPA,1306
EWR,PIT,375
HPN,PIT,375
ISP,PIT,375
JFK,PIT,375
LGA,PIT,375
SWF,PIT,375
EWR,PHX,2189
HPN,PHX,2189
ISP,PHX,2189
JFK,PHX,2189
LGA,PHX,2189
SWF,PHX,2189
EWR,SEA,2448
HPN,SEA,2448
ISP,SEA,2448
JFK,SEA,2448
LGA,SEA,2448
SWF,SEA,2448
EWR,DCA,249
EWR,IAD,249
HPN,DCA,249
ISP,BWI,249
ISP,DCA,249
JFK,DCA,249
JFK,IAD,249
LGA,DCA,249
LGA,IAD,249
SWF,DCA,249
EWR,STL,929
HPN,STL,929
ISP,STL,929
JFK,STL,929
LGA,STL,929
SWF,STL,929
EWR,MCO,989
HPN,MCO,989
ISP,MCO,989
JFK,MCO,989
LGA,MCO,989
SWF,MCO,989
EWR,ILM,540
HPN,ILM,540
ISP,ILM,540
JFK,ILM,540
LGA,ILM,540
SWF,ILM,540
EWR,OAK,2619
EWR,SFO,2619
EWR,SJC,2619
HPN,SFO,2619
HPN,SJC,2619
ISP,OAK,2619
ISP,SFO,2619
ISP,SJC,2619
JFK,OAK,2619
JFK,SFO,2619
JFK,SJC,2619
LGA,OAK,2619
LGA,SFO,2619
LGA,SJC,2619
SWF,SFO,2619
EWR,SMF,2553
HPN,SMF,2553
ISP,SMF,2553
JFK,SMF,2553
LGA,SMF,2553
EWR,TPA,1055
HPN,TPA,1055
ISP,TPA,1055
JFK,TPA,1055
LGA,TPA,1055
SWF,PIE,1055
SWF,TPA,1055
EWR,SAT,1624
HPN,SAT,1624
ISP,SAT,1624
JFK,SAT,1624
LGA,SAT,1624
SWF,SAT,1624
EWR,OMA,1188
HPN,OMA,1188
ISP,OMA,1188
JFK,OMA,1188
LGA,OMA,1188
EWR,SAN,2481
HPN,SAN,2481
ISP,SAN,2481
JFK,SAN,2481
LGA,SAN,2481
SWF,SAN,2481
EWR,ORF,337
HPN,ORF,337
HPN,PHF,337
ISP,ORF,337
JFK,ORF,337
JFK,PHF,337
LGA,ORF,337
LGA,PHF,337
SWF,ORF,337
EWR,PNS,1063
HPN,PNS,1063
ISP,PNS,1063
JFK,PNS,1063
LGA,PNS,1063
SWF,PNS,1063
EWR,OKC,1381
HPN,OKC,1381
ISP,OKC,1381
JFK,OKC,1381
LGA,OKC,1381
SWF,OKC,1381
EWR,PBI,1077
HPN,PBI,1077
ISP,PBI,1077
JFK,PBI,1077
LGA,PBI,1077
SWF,PBI,1077
EWR,PDX,2482
HPN,PDX,2482
ISP,PDX,2482
JFK,PDX,2482
LGA,PDX,2482
SWF,PDX,2482
EWR,PWM,284
HPN,PWM,284
ISP,PWM,284
JFK,PWM,284
LGA,PWM,284
SWF,PWM,284
EWR,RDU,463
HPN,RDU,463
ISP,RDU,463
JFK,RDU,463
LGA,RDU,463
SWF,RDU,463
EWR,RIC,325
HPN,RIC,325
ISP,RIC,325
JFK,RIC,325
LGA,RIC,325
SWF,RIC,325
